96.96962, [M-H]-,[M-H]-,H3PO4,,"Phosphoric acid (phosphate, anion) also from oligonucleotides or phosphopeptides",,,F
112.98559, [M-H]-,[M-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,F
112.98563, [M2+Na-2H]-,[M2+Na-2H]-,HCOOH,,"Formic acid, dimer, FA (anion)",,,F
126.90502, A-,A-,I,,Iodine anion (Iodide),,,V
162.9824, [M-H]-,[M-H]-,CF3CF2COOH,,"Pentafluoropropionic acid, Perfluoropropionic acid",,,E
212.07507, [M-H]-,[M-H]-,C10H15NO2S,,n-butyl benzenesulfonamide,,,"A, K"
226.97845, [M2-H]-,[M2-H]-,CF3COOH,,"Trifluoroacetic acid, TFA (anion)",,,A
248.9604, [M2+Na-2H]-,[M2+Na-2H]-,CF3COOH,,"Trifluoroacetic acid, TFA, sodiated (anion)",,,A
255.23295, [M-H]-,[M-H]-,C16H32O2,,Palmitic acid (carboxylate anion) C16:0,,,K
281.2486, [M-H]-,[M-H]-,C18H34O2,,Oleic acid (carboxylate anion) C18:1,,,K
283.26425, [M-H]-,[M-H]-,C18H36O2,,Stearic acid (carboxylate anion) 18:0,,,K
316.7391, [63CuI+I]-,[63CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
318.73729, [65CuI+I]-,[65CuI+I]-,CuI,,Copper catalyst iodide adduct,,,K
,,,,,,,,
405.373803,C27H49O2-,,,,,,,
406.989213,C16H7O13-,,,,,,,
407.025599,C17H11O12-,,,,,,,
407.061984,C18H15O11-,,,,,,,
407.098369,C19H19O10-,,,,,,,
407.134755,C20H23O9-,,,,,,,
407.17114,C21H27O8-,,,,,,,
407.207526,C22H31O7-,,,,,,,
407.243911,C23H35O6-,,,,,,,
407.280296,C24H39O5-,,,,,,,
407.316682,C25H43O4-,,,,,,,
407.353067,C26H47O3-,,,,,,,
407.389453,C27H51O2-,,,,,,,
408.968478,C15H5O14-,,,,,,,
409.004863,C16H9O13-,,,,,,,
409.041249,C17H13O12-,,,,,,,
409.077634,C18H17O11-,,,,,,,
409.114019,C19H21O10-,,,,,,,
409.150405,C20H25O9-,,,,,,,
409.18679,C21H29O8-,,,,,,,
409.223176,C22H33O7-,,,,,,,
409.259561,C23H37O6-,,,,,,,
409.295947,C24H41O5-,,,,,,,
409.332332,C25H45O4-,,,,,,,
409.368717,C26H49O3-,,,,,,,
418.989213,C17H7O13-,,,,,,,
419.025599,C18H11O12-,,,,,,,
419.061984,C19H15O11-,,,,,,,
419.098369,C20H19O10-,,,,,,,
419.134755,C21H23O9-,,,,,,,
419.17114,C22H27O8-,,,,,,,
419.207526,C23H31O7-,,,,,,,
419.243911,C24H35O6-,,,,,,,
419.280296,C25H39O5-,,,,,,,
419.316682,C26H43O4-,,,,,,,
419.353067,C27H47O3-,,,,,,,
419.389453,C28H51O2-,,,,,,,
420.968478,C16H5O14-,,,,,,,
421.004863,C17H9O13-,,,,,,,
421.041249,C18H13O12-,,,,,,,
421.077634,C19H17O11-,,,,,,,
421.114019,C20H21O10-,,,,,,,
421.150405,C21H25O9-,,,,,,,
421.18679,C22H29O8-,,,,,,,
421.223176,C23H33O7-,,,,,,,
421.259561,C24H37O6-,,,,,,,
421.295947,C25H41O5-,,,,,,,
421.332332,C26H45O4-,,,,,,,
421.368717,C27H49O3-,,,,,,,
422.984128,C16H7O14-,,,,,,,
423.020513,C17H11O13-,,,,,,,
423.056899,C18H15O12-,,,,,,,
423.093284,C19H19O11-,,,,,,,
423.129669,C20H23O10-,,,,,,,
423.166055,C21H27O9-,,,,,,,
423.20244,C22H31O8-,,,,,,,
423.238826,C23H35O7-,,,,,,,
423.275211,C24H39O6-,,,,,,,
423.311596,C25H43O5-,,,,,,,
423.347982,C26H47O4-,,,,,,,
423.384367,C27H51O3-,,,,,,,
432.968478,C17H5O14-,,,,,,,
433.004863,C18H9O13-,,,,,,,
433.041249,C19H13O12-,,,,,,,
433.077634,C20H17O11-,,,,,,,
433.114019,C21H21O10-,,,,,,,
433.150405,C22H25O9-,,,,,,,
433.18679,C23H29O8-,,,,,,,
433.223176,C24H33O7-,,,,,,,
433.259561,C25H37O6-,,,,,,,
433.295947,C26H41O5-,,,,,,,
433.332332,C27H45O4-,,,,,,,
433.368717,C28H49O3-,,,,,,,
434.984128,C17H7O14-,,,,,,,
435.020513,C18H11O13-,,,,,,,
435.056899,C19H15O12-,,,,,,,
435.093284,C20H19O11-,,,,,,,
435.129669,C21H23O10-,,,,,,,
435.166055,C22H27O9-,,,,,,,
435.20244,C23H31O8-,,,,,,,
435.238826,C24H35O7-,,,,,,,
435.275211,C25H39O6-,,,,,,,
435.311596,C26H43O5-,,,,,,,
435.347982,C27H47O4-,,,,,,,
435.384367,C28H51O3-,,,,,,,
436.963393,C16H5O15-,,,,,,,
436.999778,C17H9O14-,,,,,,,
437.036163,C18H13O13-,,,,,,,
437.072549,C19H17O12-,,,,,,,
437.108934,C20H21O11-,,,,,,,
437.145319,C21H25O10-,,,,,,,
437.181705,C22H29O9-,,,,,,,
437.21809,C23H33O8-,,,,,,,
437.254476,C24H37O7-,,,,,,,
437.290861,C25H41O6-,,,,,,,
437.327247,C26H45O5-,,,,,,,
437.363632,C27H49O4-,,,,,,,
446.984128,C18H7O14-,,,,,,,
447.020513,C19H11O13-,,,,,,,
447.056899,C20H15O12-,,,,,,,
447.093284,C21H19O11-,,,,,,,
447.129669,C22H23O10-,,,,,,,
447.166055,C23H27O9-,,,,,,,
447.20244,C24H31O8-,,,,,,,
447.238826,C25H35O7-,,,,,,,
447.275211,C26H39O6-,,,,,,,
447.311596,C27H43O5-,,,,,,,
447.347982,C28H47O4-,,,,,,,
447.384367,C29H51O3-,,,,,,,
448.963393,C17H5O15-,,,,,,,
448.999778,C18H9O14-,,,,,,,
449.036163,C19H13O13-,,,,,,,
449.072549,C20H17O12-,,,,,,,
449.108934,C21H21O11-,,,,,,,
449.145319,C22H25O10-,,,,,,,
449.181705,C23H29O9-,,,,,,,
449.21809,C24H33O8-,,,,,,,
449.254476,C25H37O7-,,,,,,,
449.290861,C26H41O6-,,,,,,,
449.327247,C27H45O5-,,,,,,,
449.363632,C28H49O4-,,,,,,,
450.979042,C17H7O15-,,,,,,,
451.015428,C18H11O14-,,,,,,,
451.051813,C19H15O13-,,,,,,,
451.088199,C20H19O12-,,,,,,,
451.124584,C21H23O11-,,,,,,,
451.16097,C22H27O10-,,,,,,,
451.197355,C23H31O9-,,,,,,,
451.23374,C24H35O8-,,,,,,,
451.270126,C25H39O7-,,,,,,,
451.306511,C26H43O6-,,,,,,,
451.342897,C27H47O5-,,,,,,,
451.379282,C28H51O4-,,,,,,,
460.963393,C18H5O15-,,,,,,,
460.999778,C19H9O14-,,,,,,,
461.036163,C20H13O13-,,,,,,,
461.072549,C21H17O12-,,,,,,,
461.108934,C22H21O11-,,,,,,,
461.145319,C23H25O10-,,,,,,,
461.181705,C24H29O9-,,,,,,,
461.21809,C25H33O8-,,,,,,,
461.254476,C26H37O7-,,,,,,,
461.290861,C27H41O6-,,,,,,,
461.327247,C28H45O5-,,,,,,,
461.363632,C29H49O4-,,,,,,,
462.979042,C18H7O15-,,,,,,,
463.015428,C19H11O14-,,,,,,,
463.051813,C20H15O13-,,,,,,,
463.088199,C21H19O12-,,,,,,,
463.124584,C22H23O11-,,,,,,,
463.16097,C23H27O10-,,,,,,,
463.197355,C24H31O9-,,,,,,,
463.23374,C25H35O8-,,,,,,,
463.270126,C26H39O7-,,,,,,,
463.306511,C27H43O6-,,,,,,,
463.342897,C28H47O5-,,,,,,,
463.379282,C29H51O4-,,,,,,,
464.958307,C17H5O16-,,,,,,,
464.994693,C18H9O15-,,,,,,,
465.031078,C19H13O14-,,,,,,,
465.067463,C20H17O13-,,,,,,,
465.103849,C21H21O12-,,,,,,,
465.140234,C22H25O11-,,,,,,,
465.17662,C23H29O10-,,,,,,,
465.213005,C24H33O9-,,,,,,,
465.24939,C25H37O8-,,,,,,,
465.285776,C26H41O7-,,,,,,,
465.322161,C27H45O6-,,,,,,,
465.358546,C28H49O5-,,,,,,,
465.394932,C29H53O4-,,,,,,,
474.979042,C19H7O15-,,,,,,,
475.015428,C20H11O14-,,,,,,,
475.051813,C21H15O13-,,,,,,,
475.088199,C22H19O12-,,,,,,,
475.124584,C23H23O11-,,,,,,,
475.16097,C24H27O10-,,,,,,,
475.197355,C25H31O9-,,,,,,,
475.23374,C26H35O8-,,,,,,,
475.270126,C27H39O7-,,,,,,,
475.306511,C28H43O6-,,,,,,,
475.342897,C29H47O5-,,,,,,,
475.379282,C30H51O4-,,,,,,,
476.958307,C18H5O16-,,,,,,,
476.994693,C19H9O15-,,,,,,,
477.031078,C20H13O14-,,,,,,,
477.067463,C21H17O13-,,,,,,,
477.103849,C22H21O12-,,,,,,,
477.140234,C23H25O11-,,,,,,,
477.17662,C24H29O10-,,,,,,,
477.213005,C25H33O9-,,,,,,,
477.24939,C26H37O8-,,,,,,,
477.285776,C27H41O7-,,,,,,,
477.322161,C28H45O6-,,,,,,,
477.358546,C29H49O5-,,,,,,,
477.394932,C30H53O4-,,,,,,,
478.973957,C18H7O16-,,,,,,,
479.010342,C19H11O15-,,,,,,,
479.046728,C20H15O14-,,,,,,,
479.083113,C21H19O13-,,,,,,,
479.119499,C22H23O12-,,,,,,,
479.155884,C23H27O11-,,,,,,,
479.19227,C24H31O10-,,,,,,,
479.228655,C25H35O9-,,,,,,,
479.26504,C26H39O8-,,,,,,,
479.301426,C27H43O7-,,,,,,,
479.337811,C28H47O6-,,,,,,,
479.374197,C29H51O5-,,,,,,,
488.958307,C19H5O16-,,,,,,,
488.994693,C20H9O15-,,,,,,,
489.031078,C21H13O14-,,,,,,,
489.067463,C22H17O13-,,,,,,,
489.103849,C23H21O12-,,,,,,,
489.140234,C24H25O11-,,,,,,,
489.17662,C25H29O10-,,,,,,,
489.213005,C26H33O9-,,,,,,,
489.24939,C27H37O8-,,,,,,,
489.285776,C28H41O7-,,,,,,,
489.322161,C29H45O6-,,,,,,,
489.358546,C30H49O5-,,,,,,,
489.394932,C31H53O4-,,,,,,,
490.973957,C19H7O16-,,,,,,,
491.010342,C20H11O15-,,,,,,,
491.046728,C21H15O14-,,,,,,,
491.083113,C22H19O13-,,,,,,,
491.119499,C23H23O12-,,,,,,,
491.155884,C24H27O11-,,,,,,,
491.19227,C25H31O10-,,,,,,,
491.228655,C26H35O9-,,,,,,,
491.26504,C27H39O8-,,,,,,,
491.301426,C28H43O7-,,,,,,,
491.337811,C29H47O6-,,,,,,,
491.374197,C30H51O5-,,,,,,,
492.953222,C18H5O17-,,,,,,,
492.989607,C19H9O16-,,,,,,,
493.025993,C20H13O15-,,,,,,,
493.062378,C21H17O14-,,,,,,,
493.098763,C22H21O13-,,,,,,,
493.135149,C23H25O12-,,,,,,,
493.171534,C24H29O11-,,,,,,,
493.20792,C25H33O10-,,,,,,,
493.244305,C26H37O9-,,,,,,,
493.28069,C27H41O8-,,,,,,,
493.317076,C28H45O7-,,,,,,,
493.353461,C29H49O6-,,,,,,,
493.389846,C30H53O5-,,,,,,,
502.973957,C20H7O16-,,,,,,,
503.010343,C21H11O15-,,,,,,,
503.046728,C22H15O14-,,,,,,,
503.083113,C23H19O13-,,,,,,,
503.119499,C24H23O12-,,,,,,,
503.155884,C25H27O11-,,,,,,,
503.19227,C26H31O10-,,,,,,,
503.228655,C27H35O9-,,,,,,,
503.26504,C28H39O8-,,,,,,,
503.301426,C29H43O7-,,,,,,,
503.337811,C30H47O6-,,,,,,,
503.374197,C31H51O5-,,,,,,,
504.953222,C19H5O17-,,,,,,,
504.989607,C20H9O16-,,,,,,,
505.025993,C21H13O15-,,,,,,,
505.062378,C22H17O14-,,,,,,,
505.098763,C23H21O13-,,,,,,,
505.135149,C24H25O12-,,,,,,,
505.171534,C25H29O11-,,,,,,,
505.20792,C26H33O10-,,,,,,,
505.244305,C27H37O9-,,,,,,,
505.28069,C28H41O8-,,,,,,,
505.317076,C29H45O7-,,,,,,,
505.353461,C30H49O6-,,,,,,,
505.389846,C31H53O5-,,,,,,,
506.968872,C19H7O17-,,,,,,,
507.005257,C20H11O16-,,,,,,,
507.041643,C21H15O15-,,,,,,,
507.078028,C22H19O14-,,,,,,,
507.114413,C23H23O13-,,,,,,,
507.150799,C24H27O12-,,,,,,,
507.187184,C25H31O11-,,,,,,,
507.223569,C26H35O10-,,,,,,,
507.259955,C27H39O9-,,,,,,,
507.29634,C28H43O8-,,,,,,,
507.332726,C29H47O7-,,,,,,,
507.369111,C30H51O6-,,,,,,,
516.953222,C20H5O17-,,,,,,,
516.989607,C21H9O16-,,,,,,,
517.025993,C22H13O15-,,,,,,,
517.062378,C23H17O14-,,,,,,,
517.098763,C24H21O13-,,,,,,,
517.135149,C25H25O12-,,,,,,,
517.171534,C26H29O11-,,,,,,,
517.20792,C27H33O10-,,,,,,,
517.244305,C28H37O9-,,,,,,,
517.28069,C29H41O8-,,,,,,,
517.317076,C30H45O7-,,,,,,,
517.353461,C31H49O6-,,,,,,,
517.389846,C32H53O5-,,,,,,,
518.968872,C20H7O17-,,,,,,,
519.005257,C21H11O16-,,,,,,,
519.041643,C22H15O15-,,,,,,,
519.078028,C23H19O14-,,,,,,,
519.114413,C24H23O13-,,,,,,,
519.150799,C25H27O12-,,,,,,,
519.187184,C26H31O11-,,,,,,,
519.223569,C27H35O10-,,,,,,,
519.259955,C28H39O9-,,,,,,,
519.29634,C29H43O8-,,,,,,,
519.332726,C30H47O7-,,,,,,,
519.369111,C31H51O6-,,,,,,,
520.948136,C19H5O18-,,,,,,,
520.984522,C20H9O17-,,,,,,,
521.020907,C21H13O16-,,,,,,,
521.057293,C22H17O15-,,,,,,,
521.093678,C23H21O14-,,,,,,,
521.130063,C24H25O13-,,,,,,,
521.166449,C25H29O12-,,,,,,,
521.202834,C26H33O11-,,,,,,,
521.239219,C27H37O10-,,,,,,,
521.275605,C28H41O9-,,,,,,,
521.31199,C29H45O8-,,,,,,,
521.348376,C30H49O7-,,,,,,,
521.384761,C31H53O6-,,,,,,,
530.968872,C21H7O17-,,,,,,,
531.005257,C22H11O16-,,,,,,,
531.041643,C23H15O15-,,,,,,,
531.078028,C24H19O14-,,,,,,,
531.114413,C25H23O13-,,,,,,,
531.150799,C26H27O12-,,,,,,,
531.187184,C27H31O11-,,,,,,,
531.223569,C28H35O10-,,,,,,,
531.259955,C29H39O9-,,,,,,,
531.29634,C30H43O8-,,,,,,,
531.332726,C31H47O7-,,,,,,,
531.369111,C32H51O6-,,,,,,,
532.948136,C20H5O18-,,,,,,,
532.984522,C21H9O17-,,,,,,,
533.020907,C22H13O16-,,,,,,,
533.057293,C23H17O15-,,,,,,,
533.093678,C24H21O14-,,,,,,,
533.130063,C25H25O13-,,,,,,,
533.166449,C26H29O12-,,,,,,,
533.202834,C27H33O11-,,,,,,,
533.239219,C28H37O10-,,,,,,,
533.275605,C29H41O9-,,,,,,,
533.31199,C30H45O8-,,,,,,,
533.348376,C31H49O7-,,,,,,,
533.384761,C32H53O6-,,,,,,,
534.963786,C20H7O18-,,,,,,,
535.000172,C21H11O17-,,,,,,,
535.036557,C22H15O16-,,,,,,,
535.072942,C23H19O15-,,,,,,,
535.109328,C24H23O14-,,,,,,,
535.145713,C25H27O13-,,,,,,,
535.182099,C26H31O12-,,,,,,,
535.218484,C27H35O11-,,,,,,,
535.25487,C28H39O10-,,,,,,,
535.291255,C29H43O9-,,,,,,,
535.32764,C30H47O8-,,,,,,,
535.364026,C31H51O7-,,,,,,,
544.984522,C22H9O17-,,,,,,,
545.020907,C23H13O16-,,,,,,,
545.057293,C24H17O15-,,,,,,,
545.093678,C25H21O14-,,,,,,,
545.130063,C26H25O13-,,,,,,,
545.166449,C27H29O12-,,,,,,,
545.202834,C28H33O11-,,,,,,,
545.239219,C29H37O10-,,,,,,,
545.275605,C30H41O9-,,,,,,,
545.31199,C31H45O8-,,,,,,,
545.348376,C32H49O7-,,,,,,,
545.384761,C33H53O6-,,,,,,,
546.963786,C21H7O18-,,,,,,,
547.000172,C22H11O17-,,,,,,,
547.036557,C23H15O16-,,,,,,,
547.072942,C24H19O15-,,,,,,,
547.109328,C25H23O14-,,,,,,,
547.145713,C26H27O13-,,,,,,,
547.182099,C27H31O12-,,,,,,,
547.218484,C28H35O11-,,,,,,,
547.25487,C29H39O10-,,,,,,,
547.291255,C30H43O9-,,,,,,,
547.32764,C31H47O8-,,,,,,,
547.364026,C32H51O7-,,,,,,,
548.943051,C20H5O19-,,,,,,,
548.979436,C21H9O18-,,,,,,,
549.015822,C22H13O17-,,,,,,,
549.052207,C23H17O16-,,,,,,,
549.088593,C24H21O15-,,,,,,,
549.124978,C25H25O14-,,,,,,,
549.161363,C26H29O13-,,,,,,,
549.197749,C27H33O12-,,,,,,,
549.234134,C28H37O11-,,,,,,,
549.270519,C29H41O10-,,,,,,,
549.306905,C30H45O9-,,,,,,,
549.34329,C31H49O8-,,,,,,,
549.379676,C32H53O7-,,,,,,,
558.963786,C22H7O18-,,,,,,,
559.000172,C23H11O17-,,,,,,,
559.036557,C24H15O16-,,,,,,,
559.072942,C25H19O15-,,,,,,,
559.109328,C26H23O14-,,,,,,,
559.145713,C27H27O13-,,,,,,,
559.182099,C28H31O12-,,,,,,,
559.218484,C29H35O11-,,,,,,,
559.25487,C30H39O10-,,,,,,,
559.291255,C31H43O9-,,,,,,,
559.32764,C32H47O8-,,,,,,,
559.364026,C33H51O7-,,,,,,,
560.979436,C22H9O18-,,,,,,,
561.015822,C23H13O17-,,,,,,,
561.052207,C24H17O16-,,,,,,,
561.088593,C25H21O15-,,,,,,,
561.124978,C26H25O14-,,,,,,,
561.161363,C27H29O13-,,,,,,,
561.197749,C28H33O12-,,,,,,,
561.234134,C29H37O11-,,,,,,,
561.270519,C30H41O10-,,,,,,,
561.306905,C31H45O9-,,,,,,,
561.34329,C32H49O8-,,,,,,,
561.379676,C33H53O7-,,,,,,,
562.958701,C21H7O19-,,,,,,,
562.995086,C22H11O18-,,,,,,,
563.031472,C23H15O17-,,,,,,,
563.067857,C24H19O16-,,,,,,,
563.104243,C25H23O15-,,,,,,,
563.140628,C26H27O14-,,,,,,,
563.177013,C27H31O13-,,,,,,,
563.213399,C28H35O12-,,,,,,,
563.249784,C29H39O11-,,,,,,,
563.286169,C30H43O10-,,,,,,,
563.322555,C31H47O9-,,,,,,,
563.35894,C32H51O8-,,,,,,,
563.395326,C33H55O7-,,,,,,,
572.979436,C23H9O18-,,,,,,,
573.015822,C24H13O17-,,,,,,,
573.052207,C25H17O16-,,,,,,,
573.088593,C26H21O15-,,,,,,,
573.124978,C27H25O14-,,,,,,,
573.161363,C28H29O13-,,,,,,,
573.197749,C29H33O12-,,,,,,,
573.234134,C30H37O11-,,,,,,,
573.270519,C31H41O10-,,,,,,,
573.306905,C32H45O9-,,,,,,,
573.34329,C33H49O8-,,,,,,,
573.379676,C34H53O7-,,,,,,,
574.958701,C22H7O19-,,,,,,,
574.995086,C23H11O18-,,,,,,,
575.031472,C24H15O17-,,,,,,,
575.067857,C25H19O16-,,,,,,,
575.104243,C26H23O15-,,,,,,,
575.140628,C27H27O14-,,,,,,,
575.177013,C28H31O13-,,,,,,,
575.213399,C29H35O12-,,,,,,,
575.249784,C30H39O11-,,,,,,,
575.286169,C31H43O10-,,,,,,,
575.322555,C32H47O9-,,,,,,,
575.35894,C33H51O8-,,,,,,,
575.395326,C34H55O7-,,,,,,,
576.974351,C22H9O19-,,,,,,,
577.010736,C23H13O18-,,,,,,,
577.047122,C24H17O17-,,,,,,,
577.083507,C25H21O16-,,,,,,,
577.119892,C26H25O15-,,,,,,,
577.156278,C27H29O14-,,,,,,,
577.192663,C28H33O13-,,,,,,,
577.229049,C29H37O12-,,,,,,,
577.265434,C30H41O11-,,,,,,,
577.301819,C31H45O10-,,,,,,,
577.338205,C32H49O9-,,,,,,,
577.37459,C33H53O8-,,,,,,,
586.958701,C23H7O19-,,,,,,,
586.995086,C24H11O18-,,,,,,,
587.031472,C25H15O17-,,,,,,,
587.067857,C26H19O16-,,,,,,,
587.104243,C27H23O15-,,,,,,,
587.140628,C28H27O14-,,,,,,,
587.177013,C29H31O13-,,,,,,,
587.213399,C30H35O12-,,,,,,,
587.249784,C31H39O11-,,,,,,,
587.286169,C32H43O10-,,,,,,,
587.322555,C33H47O9-,,,,,,,
587.35894,C34H51O8-,,,,,,,
587.395326,C35H55O7-,,,,,,,
588.974351,C23H9O19-,,,,,,,
589.010736,C24H13O18-,,,,,,,
589.047122,C25H17O17-,,,,,,,
589.083507,C26H21O16-,,,,,,,
589.119892,C27H25O15-,,,,,,,
589.156278,C28H29O14-,,,,,,,
589.192663,C29H33O13-,,,,,,,
589.229049,C30H37O12-,,,,,,,
589.265434,C31H41O11-,,,,,,,
589.301819,C32H45O10-,,,,,,,
589.338205,C33H49O9-,,,,,,,
589.37459,C34H53O8-,,,,,,,
590.953615,C22H7O20-,,,,,,,
590.990001,C23H11O19-,,,,,,,
591.026386,C24H15O18-,,,,,,,
591.062772,C25H19O17-,,,,,,,
591.099157,C26H23O16-,,,,,,,
591.135543,C27H27O15-,,,,,,,
591.171928,C28H31O14-,,,,,,,
591.208313,C29H35O13-,,,,,,,
591.244699,C30H39O12-,,,,,,,
591.281084,C31H43O11-,,,,,,,
591.31747,C32H47O10-,,,,,,,
591.353855,C33H51O9-,,,,,,,
591.39024,C34H55O8-,,,,,,,
600.974351,C24H9O19-,,,,,,,
601.010736,C25H13O18-,,,,,,,
601.047122,C26H17O17-,,,,,,,
601.083507,C27H21O16-,,,,,,,
601.119892,C28H25O15-,,,,,,,
601.156278,C29H29O14-,,,,,,,
601.192663,C30H33O13-,,,,,,,
601.229049,C31H37O12-,,,,,,,
601.265434,C32H41O11-,,,,,,,
601.301819,C33H45O10-,,,,,,,
601.338205,C34H49O9-,,,,,,,
601.37459,C35H53O8-,,,,,,,
602.953615,C23H7O20-,,,,,,,
602.990001,C24H11O19-,,,,,,,
603.026386,C25H15O18-,,,,,,,
603.062772,C26H19O17-,,,,,,,
603.099157,C27H23O16-,,,,,,,
603.135543,C28H27O15-,,,,,,,
603.171928,C29H31O14-,,,,,,,
603.208313,C30H35O13-,,,,,,,
603.244699,C31H39O12-,,,,,,,
603.281084,C32H43O11-,,,,,,,
603.31747,C33H47O10-,,,,,,,
603.353855,C34H51O9-,,,,,,,
603.39024,C35H55O8-,,,,,,,
604.969266,C23H9O20-,,,,,,,
605.005651,C24H13O19-,,,,,,,
605.042036,C25H17O18-,,,,,,,
605.078422,C26H21O17-,,,,,,,
605.114807,C27H25O16-,,,,,,,
605.151192,C28H29O15-,,,,,,,
605.187578,C29H33O14-,,,,,,,
605.223963,C30H37O13-,,,,,,,
605.260349,C31H41O12-,,,,,,,
605.296734,C32H45O11-,,,,,,,
605.33312,C33H49O10-,,,,,,,
605.369505,C34H53O9-,,,,,,,
614.953615,C24H7O20-,,,,,,,
614.990001,C25H11O19-,,,,,,,
615.026386,C26H15O18-,,,,,,,
615.062772,C27H19O17-,,,,,,,
615.099157,C28H23O16-,,,,,,,
615.135543,C29H27O15-,,,,,,,
615.171928,C30H31O14-,,,,,,,
615.208313,C31H35O13-,,,,,,,
615.244699,C32H39O12-,,,,,,,
615.281084,C33H43O11-,,,,,,,
615.31747,C34H47O10-,,,,,,,
615.353855,C35H51O9-,,,,,,,
615.39024,C36H55O8-,,,,,,,
616.969266,C24H9O20-,,,,,,,
617.005651,C25H13O19-,,,,,,,
617.042036,C26H17O18-,,,,,,,
617.078422,C27H21O17-,,,,,,,
617.114807,C28H25O16-,,,,,,,
617.151192,C29H29O15-,,,,,,,
617.187578,C30H33O14-,,,,,,,
617.223963,C31H37O13-,,,,,,,
617.260349,C32H41O12-,,,,,,,
617.296734,C33H45O11-,,,,,,,
617.33312,C34H49O10-,,,,,,,
617.369505,C35H53O9-,,,,,,,
618.94853,C23H7O21-,,,,,,,
618.984915,C24H11O20-,,,,,,,
619.021301,C25H15O19-,,,,,,,
619.057686,C26H19O18-,,,,,,,
619.094072,C27H23O17-,,,,,,,
619.130457,C28H27O16-,,,,,,,
619.166843,C29H31O15-,,,,,,,
619.203228,C30H35O14-,,,,,,,
619.239613,C31H39O13-,,,,,,,
619.275999,C32H43O12-,,,,,,,
619.312384,C33H47O11-,,,,,,,
619.34877,C34H51O10-,,,,,,,
619.385155,C35H55O9-,,,,,,,
628.969266,C25H9O20-,,,,,,,
629.005651,C26H13O19-,,,,,,,
629.042036,C27H17O18-,,,,,,,
629.078422,C28H21O17-,,,,,,,
629.114807,C29H25O16-,,,,,,,
629.151192,C30H29O15-,,,,,,,
629.187578,C31H33O14-,,,,,,,
629.223963,C32H37O13-,,,,,,,
629.260349,C33H41O12-,,,,,,,
629.296734,C34H45O11-,,,,,,,
629.33312,C35H49O10-,,,,,,,
629.369505,C36H53O9-,,,,,,,
630.94853,C24H7O21-,,,,,,,
630.984915,C25H11O20-,,,,,,,
631.021301,C26H15O19-,,,,,,,
631.057686,C27H19O18-,,,,,,,
631.094072,C28H23O17-,,,,,,,
631.130457,C29H27O16-,,,,,,,
631.166843,C30H31O15-,,,,,,,
631.203228,C31H35O14-,,,,,,,
631.239613,C32H39O13-,,,,,,,
631.275999,C33H43O12-,,,,,,,
631.312384,C34H47O11-,,,,,,,
631.34877,C35H51O10-,,,,,,,
631.385155,C36H55O9-,,,,,,,
632.96418,C24H9O21-,,,,,,,
633.000565,C25H13O20-,,,,,,,
633.036951,C26H17O19-,,,,,,,
633.073336,C27H21O18-,,,,,,,
633.109722,C28H25O17-,,,,,,,
633.146107,C29H29O16-,,,,,,,
633.182493,C30H33O15-,,,,,,,
633.218878,C31H37O14-,,,,,,,
633.255263,C32H41O13-,,,,,,,
633.291649,C33H45O12-,,,,,,,
633.328034,C34H49O11-,,,,,,,
633.364419,C35H53O10-,,,,,,,
642.94853,C25H7O21-,,,,,,,
642.984915,C26H11O20-,,,,,,,
643.021301,C27H15O19-,,,,,,,
643.057686,C28H19O18-,,,,,,,
643.094072,C29H23O17-,,,,,,,
643.130457,C30H27O16-,,,,,,,
643.166843,C31H31O15-,,,,,,,
643.203228,C32H35O14-,,,,,,,
643.239613,C33H39O13-,,,,,,,
643.275999,C34H43O12-,,,,,,,
643.312384,C35H47O11-,,,,,,,
643.34877,C36H51O10-,,,,,,,
643.385155,C37H55O9-,,,,,,,
644.96418,C25H9O21-,,,,,,,
645.000565,C26H13O20-,,,,,,,
645.036951,C27H17O19-,,,,,,,
645.073336,C28H21O18-,,,,,,,
645.109722,C29H25O17-,,,,,,,
645.146107,C30H29O16-,,,,,,,
645.182493,C31H33O15-,,,,,,,
645.218878,C32H37O14-,,,,,,,
645.255263,C33H41O13-,,,,,,,
645.291649,C34H45O12-,,,,,,,
645.328034,C35H49O11-,,,,,,,
645.364419,C36H53O10-,,,,,,,
646.943445,C24H7O22-,,,,,,,
646.97983,C25H11O21-,,,,,,,
647.016216,C26H15O20-,,,,,,,
647.052601,C27H19O19-,,,,,,,
647.088986,C28H23O18-,,,,,,,
647.125372,C29H27O17-,,,,,,,
647.161757,C30H31O16-,,,,,,,
647.198143,C31H35O15-,,,,,,,
647.234528,C32H39O14-,,,,,,,
647.270913,C33H43O13-,,,,,,,
647.307299,C34H47O12-,,,,,,,
647.343684,C35H51O11-,,,,,,,
647.380069,C36H55O10-,,,,,,,
656.96418,C26H9O21-,,,,,,,
657.000565,C27H13O20-,,,,,,,
657.036951,C28H17O19-,,,,,,,
657.073336,C29H21O18-,,,,,,,
657.109722,C30H25O17-,,,,,,,
657.146107,C31H29O16-,,,,,,,
657.182493,C32H33O15-,,,,,,,
657.218878,C33H37O14-,,,,,,,
657.255263,C34H41O13-,,,,,,,
